remoteness_area, address_line_1, hospname, address_line_2, ogc_fid, state, _2012_13_peer_group_name, geocode_type, longitude, latitude
"Remote","HICKS ST","Esperance Hospital","ESPERANCE 6450",203,"WA","Small public acute with surgery/obstetrics","establishment",121.8924605,-33.8559681
"Outer Regional","PICCADILLY ST","Kalgoorlie Hospital","KALGOORLIE 6430",204,"WA","Medium public acute","establishment",121.4702471,-30.7406435
"Very remote","SADIE CANNING DR","Leonora Hospital","LEONORA 6438",205,"WA","Very small public","establishment",121.3377213,-28.8943303
"Outer Regional","CLIVE ST","Katanning Hospital","KATANNING 6317",206,"WA","Small public acute with surgery/obstetrics","establishment",117.5633274,-33.6834469
"Remote","YOUGENUP RD","Gnowangerup Hospital","GNOWANGERUP 6335",207,"WA","Very small public","establishment",118.0024425,-33.9307519
"Outer Regional","LANGTON RD","Plantagenet Hospital","MOUNT BARKER 6324",208,"WA","Other small public acute","establishment",117.6543769,-34.6260829
"Outer Regional","SPRING ST","Kojonup Hospital","KOJONUP 6395",209,"WA","Very small public","establishment",117.1561809,-33.829418
"Inner Regional","DONOVAN ST","Augusta Hospital","AUGUSTA 6290",210,"WA","Other small public acute","establishment",115.158685,-34.3060366
"Inner Regional","BUSSELL HWY","Bunbury Hospital","BUNBURY 6230",211,"WA","Medium public acute","establishment",115.6479872,-33.3667007
"Inner Regional","MILL RD","Busselton Hospital","BUSSELTON 6280",212,"WA","Small public acute with surgery/obstetrics","establishment",115.3204179,-33.6545841
"Inner Regional","DEAKIN ST","Collie Hospital","COLLIE 6225",213,"WA","Small public acute with surgery/obstetrics","establishment",116.1623172,-33.3524333
"Inner Regional","FARRELLY ST","Margaret River Hospital","MARGARET RIVER 6285",214,"WA","Small public acute with surgery/obstetrics","establishment",115.070964,-33.9519754
"Inner Regional","BENTLEY ST","Donnybrook Hospital","DONNYBROOK 6239",215,"WA","Very small public","establishment",115.818077,-33.5757082
"Outer Regional","CAREY ST","Nannup Hospital","NANNUP 6275",216,"WA","Very small public","doctor",115.7668018,-33.9830649
"Outer Regional","RAILWAY CR","Pemberton Hospital","PEMBERTON 6260",217,"WA","Other small public acute","establishment",116.0329144,-34.4434266
"Outer Regional","PENINSULA RD","Bridgetown Hospital","BRIDGETOWN 6255",218,"WA","Small public acute with surgery/obstetrics","establishment",116.132398,-33.952153
"Major Cities","BROCKWAY RD","State Forensic Mental Health Service","MOUNT CLAREMONT 6010",219,"WA","Psychiatric public","establishment",115.7889421,-31.9623809
"Major Cities","BROCKWAY RD","Graylands Hospital","MOUNT CLAREMONT 6010",220,"WA","Psychiatric public","establishment",115.7889421,-31.9623809
"Outer Regional","1 Merimbola ST","Pambula","Pambula 2549",221,"NSW","Other small public acute","establishment",149.877934,-36.926022
"Very remote","14 Richmond Hill Drive","HUGHENDEN HOSPITAL","Hughenden 4821",222,"QLD","Other small public acute","establishment",144.187871,-20.8426302
"Outer Regional","23 Hurlstone ST","Peterborough Soldiers' Memorial Hospital","Peterborough 5422",223,"SA","Other small public acute","establishment",138.8306282,-32.9806312
"Outer Regional","143 Court ST","Manilla (MPS)","Manilla 2346",224,"NSW","Other small public acute","street_address",150.7315892,-30.7462771
"Outer Regional","11 Cameron ST","Narrabri","Narrabri 2390",225,"NSW","Small public acute with surgery/obstetrics","street_address",149.7773566,-30.3263169
null,"","Mercy Public Hospital Inc.","Various",730,"VIC",null,"establishment",145.0611484,-37.7561681
"Outer Regional","70 Ungarie RD","Wyalong","West Wyalong 2671",226,"NSW","Other small public acute","street_address",147.1961169,-33.9170126
"Outer Regional","Cracow Road","EIDSVOLD HOSPITAL","Eidsvold 4627",227,"QLD","Other small public acute","street_address",150.3350081,-25.3004605
"Outer Regional","1 McKee DR","Bega","Bega 2550",228,"NSW","Medium public acute","street_address",149.8374599,-36.6812325
"Remote","Lot 10 Moondana ST","Tottenham (MPS)","Tottenham 2873",229,"NSW","Very small public","street_address",147.3498163,-32.242059
"Major Cities","1a Hospital RD","Concord","Concord West 2138",230,"NSW","Principal referral","street_address",151.0950059,-33.8361691
"Major Cities","28 Gray ST","St George","Kogarah 2017",231,"NSW","Principal referral","street_address",151.1332174,-33.9677996
"Inner Regional","1 Bent ST","Cooma HS","Cooma 2630",232,"NSW","Small public acute with surgery/obstetrics","street_address",149.1289143,-36.2417326
"Inner Regional","54 Swift ST","Murrumburrah - Harden","Harden 2587",233,"NSW","Other small public acute","street_address",148.360261,-34.5558047
"Major Cities","West Terrace","CALOUNDRA HOSPITAL","Caloundra 4551",234,"QLD","Medium public acute","street_address",153.1196676,-26.8005391
"Inner Regional","Bean Street","MALENY HOSPITAL","Maleny 4552",235,"QLD","Other small public acute","street_address",152.8441669,-26.7547688
"Very remote","16-24 Richards AV","Central Eyre Peninsula Hospital (Wudinna)","Wudinna 5652",236,"SA","Very small public","street_address",135.4671387,-33.0502609
"Remote","39 Oxford TCE","Port Lincoln Health Service","Port Lincoln 5606",237,"SA","Small public acute with surgery/obstetrics","establishment",135.8528058,-34.7266162
"Remote","8-11 The ESP","Tumby Bay Hospital and Health Services","Tumby Bay 5605",238,"SA","Other small public acute","establishment",136.104595,-34.372133
"Major Cities","15 WOLSELY RD","Kaleeya Hospital","EAST FREMANTLE 6158",239,"WA","Small public acute with surgery/obstetrics","street_address",115.76632,-32.03651
"Remote","CAULFIELD RD","Morawa Hospital","MORAWA 6623",240,"WA","Very small public","street_address",116.00291,-29.2127
"Outer Regional","STEPHEN ST","Northampton Hospital","NORTHAMPTON 6535",241,"WA","Very small public","street_address",114.63519,-28.35102
"Outer Regional","FORREST ST","Goomalling Hospital","GOOMALLING 6460",242,"WA","Very small public","street_address",116.8305582,-31.3039182
"Very remote","BERIA RD","Laverton Hospital","LAVERTON 6440",243,"WA","Very small public","street_address",122.400058,-28.626546
"Outer Regional","50 SCOTSDALE RD","Denmark Hospital","DENMARK 6333",244,"WA","Other small public acute","street_address",117.3581152,-34.9561459
"Remote","1 Uabba ST","Lake Cargelligo (MPS)","Lake Cargelligo 2672",245,"NSW","Other small public acute","establishment",146.375051,-33.294181
"Very remote","","Andamooka Outpost Hospital","Andamooka 5722",246,"SA","Outpatient hospital","locality",137.1648204,-30.4536036
"Outer Regional","Pekina RD","Orroroo & District Health Service","Orroroo 5431",247,"SA","Very small public","route",138.5654838,-32.8120545
"Major Cities","Aldersley ST","McLaren Vale & Districts War Memorial Hospital Inc","McLaren Vale 5171",248,"SA","Other small public acute","route",138.5441262,-35.2242829
"Outer Regional","Mount Gambier RD","Millicent & District Hospital & Health Services","Millicent 5280",249,"SA","Small public acute with surgery/obstetrics","route",140.3747008,-37.6156581
"Inner Regional","Blake Street","Beaufort & Skipton Health Service [Skipton]","Skipton 3361",250,"VIC","Very small public","route",143.3652368,-37.6846475
"Inner Regional","Rutledge Street","Kilmore & District Hospital The","Kilmore 3764",251,"VIC","Small public acute with surgery/obstetrics","route",144.9523747,-37.300429
"Outer Regional","13 Stokes RD","Karoonda & District Soldiers' Memorial Hospital","Karoonda 5307",252,"SA","Very small public","street_address",139.8897244,-35.0943029
"Outer Regional","2 South TCE","Meningie & Districts Memorial Hospital & Health Services","Meningie 5264",253,"SA","Other small public acute","street_address",139.3330592,-35.6928395
"Outer Regional","21 Hospital Road","Timboon & District Healthcare Service","Timboon 3268",254,"VIC","Other small public acute","street_address",142.9769538,-38.4862363
"Inner Regional","13 Austin Avenue","Terang & Mortlake Health Service [Terang]","Terang 3264",255,"VIC","Other small public acute","street_address",142.9024268,-38.2393678
"Inner Regional","3 Hospital Street","Inglewood & District Health Service","Inglewood 3517",256,"VIC","Other small public acute","street_address",143.873394,-36.5725852
"Outer Regional","33 Mill ST","Laura & Districts Hospital","Laura 5480",257,"SA","Very small public","street_address",138.2989508,-33.1771545
"Inner Regional","28 Havelock Street","Beaufort & Skipton Health Service [Beaufort]","Beaufort 3373",258,"VIC","Very small public","street_address",143.3824534,-37.4308576
"Outer Regional","128-134 Elizabeth Street","Edenhope & District Hospital","Edenhope 3318",259,"VIC","Other small public acute","street_address",141.288851,-37.0356235
"Inner Regional","88 Fenaughty Street","Kyabram & District Health Service","Kyabram 3620",260,"VIC","Small public acute with surgery/obstetrics","street_address",145.0423815,-36.3147857
"Outer Regional","37 Pioneer Street","Manangatang & District Hospital","Manangatang 3546",261,"VIC","Very small public","street_address",142.8810883,-35.0510631
"Inner Regional","1 Pascoe Street","Rochester & Elmore District Health Service","Rochester 3561",262,"VIC","Other small public acute","street_address",144.6979363,-36.3658135
"Outer Regional","33-43 McClelland Avenue","Sea Lake & District","Sea Lake 3533",263,"VIC","Unpeered","street_address",142.8577157,-35.5008826
"Inner Regional","2 Katamatite Road","Numurkah & District Health Service","Numurkah 3636",264,"VIC","Other small public acute","street_address",145.4435593,-36.0993453
"Inner Regional","45 Station Street","Yea & District Memorial Hospital","Yea 3717",265,"VIC","Other small public acute","street_address",145.4309531,-37.2139576
"Inner Regional","45-53 Coster Street","Benalla & District Memorial Hospital","Benalla 3672",266,"VIC","Small public acute with surgery/obstetrics","subpremise",145.9934991,-36.5553172
"Inner Regional","85-91 Commercial Road","Yarram & District Health Service","Yarram 3971",267,"VIC","Other small public acute","subpremise",146.6777133,-38.5569618
"Major Cities","193 Bluff Road","Sandringham & District Memorial Hospital","Sandringham 3191",268,"VIC","Medium public acute","street_address",145.019078,-37.960472
null,"28 Havelock Street","Beaufort & Skipton Health Service","Beaufort Victoria 3373",269,"VIC",null,"street_address",143.3824534,-37.4308576
null,"2 Blake Street,","Beaufort & Skipton Health Service","Skipton Victoria 3361",270,"VIC",null,"street_address",143.3673993,-37.6845724
"Major Cities","129 Carruthers ST","QEII Family Centre","Curtin 2605",271,"ACT","Early parenting centres","establishment",149.0791347,-35.3233425
"Major Cities","Anzac PDE","Justice Health","Malabar 2036",272,"NSW","Psychiatric public","establishment",151.2428399,-33.9699747
"Major Cities","178 Hawkesbury RD","Children's Hospital Westmead","Westmead 2145",273,"NSW","Childrens","establishment",150.9883929,-33.8024225
"Major Cities","170 Darlinghurst RD","Sacred Heart Hospice","Darlinghurst 2010",274,"NSW","Non-acute public-rehabilitation and GEM","establishment",151.2193073,-33.8805156
"Major Cities","390 Victoria ST","St Vincent's Darlinghurst","Darlinghurst 2010",275,"NSW","Principal referral","establishment",151.2207522,-33.8805454
"Major Cities","19a Alice ST","St Joseph's Auburn","Auburn 2144",276,"NSW","Non-acute public-rehabilitation and GEM","establishment",151.0727416,-33.9255886
"Major Cities","29 Booth ST","Balmain","Balmain 2041",277,"NSW","Other small public acute","establishment",151.1818318,-33.859169
"Major Cities","575 Canterbury RD","Canterbury","Campsie 2194",278,"NSW","Medium public acute","establishment",151.0983962,-33.9194418
"Major Cities","50 Missenden RD","Royal Prince Alfred","Camperdown 2050",279,"NSW","Principal referral","establishment",151.1825718,-33.8895407
"Major Cities","57-59 Missenden RD","RPAH Institute of Rheumatology & Orthopaedics","Camperdown 2050",280,"NSW","Other public acute specialised","doctor",151.1804413,-33.8883524
null,"","Austin Health","Various",731,"VIC",null,"establishment",145.0602786,-37.7564117
"Major Cities","53-65 Mitchell ST","Karitane Mothercraft Society","Carramar 2163",281,"NSW","Early parenting centres","establishment",150.9663233,-33.8804729
"Major Cities","65 Menangle RD","Camden","Camden 2570",282,"NSW","Other small public acute","establishment",150.6938819,-34.062501
"Major Cities","360 Prairie Vale RD","Fairfield","Prairiewood 2176",283,"NSW","Medium public acute","establishment",150.9027797,-33.8619022
"Major Cities","Lot 2 Elizabeth ST","Liverpool","Liverpool 2170",284,"NSW","Principal referral","convenience_store",150.9302546,-33.9202646
"Major Cities","68 Eldridge RD","Bankstown/ Lidcombe","Bankstown 2200",285,"NSW","Large public acute","establishment",151.0208428,-33.9331248
"Major Cities","340 Prairie Vale RD","Braeside","Prairiewood 2176",286,"NSW","Non-acute public-rehabilitation and GEM","establishment",150.9027797,-33.8619022
"Inner Regional","Lot 3 Mona RD","Bowral","Bowral 2576",287,"NSW","Medium public acute","street_address",151.0599005,-33.9507337
"Major Cities","8 Macquarie ST","Sydney/ Sydney Eye","Sydney 2000",288,"NSW","Medium public acute","establishment",151.2122224,-33.8681622
"Major Cities","2 Chalmers ST","Sydney Dental","Surry Hills 2010",289,"NSW","Unpeered","dentist",151.2079447,-33.8842836
"Major Cities","91-101 Rocky Point RD","Calvary","Kogarah 2217",290,"NSW","Non-acute public-mixed subacute and non-acute","establishment",151.1363039,-33.9759439
"Major Cities","125 Birrell ST","Waverley War Memorial","Waverley 2024",291,"NSW","Non-acute public-mixed subacute and non-acute","establishment",151.2534857,-33.8973738
"Major Cities","636 Lawrence Hargrave DR","Coledale","Coledale 2515",292,"NSW","Non-acute public-rehabilitation and GEM","establishment",150.950846,-34.2837822
"Inner Regional","1 Bonaira ST","Kiama","Kiama 2533",293,"NSW","Non-acute public-rehabilitation and GEM","establishment",150.8507499,-34.6825704
"Inner Regional","104 Princes HWY","Milton and Ulladulla","Milton 2538",294,"NSW","Small public acute with surgery/obstetrics","establishment",150.4390103,-35.3173756
"Major Cities","89-91 Cowper ST","Port Kembla","Warrawong 2502",295,"NSW","Non-acute public-rehabilitation and GEM","establishment",150.8814187,-34.4853985
"Inner Regional","2 Shoalhaven ST","Shoalhaven Memorial","Nowra 2541",296,"NSW","Large public acute","establishment",150.5953049,-34.8687776
"Major Cities","348 Crown ST","Wollongong","Wollongong 2500",297,"NSW","Principal referral","establishment",150.88353,-34.42476
"Major Cities","15-17 Madigan BVD","Shellharbour","Mount Warrigal 2528",298,"NSW","Medium public acute","establishment",150.8413165,-34.5590196
"Major Cities","15-17 Madigan BVD","Illawarra Mental Health Services","Shellharbour Square 2529",299,"NSW","Unpeered","establishment",150.8413165,-34.5590196
"Major Cities","18-20 Hargrave RD","Auburn","Auburn 2144",300,"NSW","Medium public acute","establishment",151.0329788,-33.8606066
"Major Cities","44 Blacktown RD","Blacktown","Blacktown 2148",301,"NSW","Large public acute","establishment",150.9174729,-33.7758209
"Major Cities","75 Railway ST","Mount Druitt","Mount Druitt 2770",302,"NSW","Medium public acute","establishment",150.8296399,-33.765891
"Major Cities","166 Darcy RD","Westmead","Westmead 2145",303,"NSW","Principal referral","establishment",150.9885663,-33.8049251
"Major Cities","Lot 3 Woodlands RD","Blue Mountains","Katoomba 2780",304,"NSW","Small public acute with surgery/obstetrics","establishment",150.3209669,-33.7051183
"Major Cities","7-9 Huntley Grange RD","Springwood","Springwood 2777",305,"NSW","Small public acute with surgery/obstetrics","establishment",150.5710908,-33.6907137
"Major Cities","Cnr Macquarie and Day St","Hawkesbury","Windsor 2756",306,"NSW","Medium public acute","establishment",150.8203877,-33.6104319
"Major Cities","1b Barber AV","Tresillian Wentworth","Kingswood 2747",307,"NSW","Early parenting centres","establishment",150.7131316,-33.7579172
"Inner Regional","2 Col Drewe DR","Lithgow","Lithgow 2790",308,"NSW","Small public acute with surgery/obstetrics","establishment",150.1275995,-33.4989993
"Inner Regional","20 Green ST","Portland","Portland 2847",309,"NSW","Very small public","establishment",149.978896,-33.357898
"Major Cities","97-115 River RD","Greenwich","Greenwich 2065",310,"NSW","Non-acute public-rehabilitation and GEM","establishment",151.1833359,-33.827369
"Major Cities","4-12 Neringah AV","Neringah","Wahroonga South 2076",311,"NSW","Non-acute public-rehabilitation and GEM","establishment",151.114566,-33.7176141
"Major Cities","150 Darley RD","Manly","Manly 2095",312,"NSW","Large public acute","establishment",151.2948677,-33.805435
"Major Cities","18 Coronation ST","Mona Vale","Mona Vale 2103",313,"NSW","Large public acute","establishment",151.3068052,-33.6850905
"Major Cities","227 Morrison RD","Royal Rehabilitation","Ryde 2112",314,"NSW","Non-acute public-mixed subacute and non-acute","establishment",151.1072755,-33.8223257
"Major Cities","7 Kathleen ST","Woy Woy","Woy Woy 2256",315,"NSW","Non-acute public-rehabilitation and GEM","establishment",151.3206691,-33.4973098
"Inner Regional","226 Rusden ST","Armidale","Armidale 2350",316,"NSW","Medium public acute","establishment",151.6548607,-30.5120389
"Outer Regional","1 Edward ST","Barraba (MPS)","Barraba 2347",317,"NSW","Other small public acute","establishment",150.6056222,-30.3823029
"Outer Regional","1 Keera ST","Bingara (MPS)","Bingara 2404",318,"NSW","Other small public acute","street_address",150.5621481,-29.8677576
"Outer Regional","3 Wee Waa ST","Boggabri (MPS)","Boggabri 2382",319,"NSW","Very small public","establishment",150.0402431,-30.711653
"Outer Regional","94 Taylor ST","Glen Innes","Glen Innes 2370",320,"NSW","Small public acute with surgery/obstetrics","establishment",151.7322904,-29.7329555
"Outer Regional","2 Marquis ST","Gunnedah","Gunnedah 2380",321,"NSW","Small public acute with surgery/obstetrics","establishment",150.2490669,-30.9847125
"Outer Regional","44-48 Sole ST","Guyra (MPS)","Guyra 2365",322,"NSW","Other small public acute","street_address",151.6791754,-30.2126574
"Outer Regional","41-61 Swanbrook RD","Inverell","Inverell 2360",323,"NSW","Small public acute with surgery/obstetrics","establishment",151.129266,-29.7706031
"Outer Regional","35 Alice ST","Moree","Moree 2400",324,"NSW","Small public acute with surgery/obstetrics","establishment",149.8391488,-29.4704333
"Outer Regional","1-5 Naas ST","Prince Albert Tenterfield","Tenterfield 2372",325,"NSW","Other small public acute","establishment",152.0132982,-29.0449453
"Outer Regional","1 Inverell RD","Tingha (MPS)","Tingha 2369",326,"NSW","Outpatient hospital","street_address",150.5769729,-29.5439739
"Outer Regional","13-33 Glen Innes RD","Vegetable Creek (MPS)","Emmaville 2371",327,"NSW","Very small public","subpremise",151.1810298,-33.8224241
"Outer Regional","7 South ST","Walcha (MPS)","Walcha 2354",328,"NSW","Other small public acute","subpremise",151.163859,-33.925543
"Outer Regional","60 Alma ST","Wee Waa","Wee Waa 2388",329,"NSW","Other small public acute","establishment",149.4480785,-30.2252648
"Inner Regional","1 Richmond ST","Bulahdelah - Myall Lakes","Bulahdelah 2423",330,"NSW","Very small public","bar",150.753931,-33.600325
"Inner Regional","26 York ST","Manning","Taree 2430",331,"NSW","Large public acute","establishment",152.4547463,-31.9101774
"Inner Regional","32 Bungay RD","Wingham","Wingham 2429",332,"NSW","Non-acute public-mixed subacute and non-acute","establishment",152.366088,-31.8773181
"Inner Regional","Lot 1 View ST","Cessnock","Cessnock 2325",333,"NSW","Small public acute with surgery/obstetrics","bar",151.206176,-33.868009
"Inner Regional","58 Hospital RD","Dungog","Dungog 2420",334,"NSW","Other small public acute","establishment",151.7462074,-32.4018502
"Major Cities","432 Lang ST","Kurri Kurri","Kurri Kurri 2327",335,"NSW","Small public acute with surgery/obstetrics","establishment",151.463018,-32.8250166
"Major Cities","550 High ST","Maitland","Maitland 2320",336,"NSW","Medium public acute","establishment",151.545378,-32.7257763
"Outer Regional","1 Mackenzie ST","Merriwa (MPS)","Merriwa 2329",337,"NSW","Very small public","premise",151.1725871,-33.771369
"Inner Regional","51-53 Ogilvie ST","Denman (MPS)","Denman 2328",338,"NSW","Very small public","establishment",150.6844201,-32.389614
"Major Cities","16 Croudace Bay RD","Belmont","Belmont 2280",339,"NSW","Medium public acute","establishment",151.6481805,-33.0247004
"Inner Regional","Lot 20 Dangar RD","Singleton","Singleton 2330",340,"NSW","Small public acute with surgery/obstetrics","premise",151.1835911,-32.5656685
"Outer Regional","59 O'Connell ST","Murrurundi","Murrurundi 2338",341,"NSW","Other small public acute","establishment",150.8348206,-31.7704276
"Inner Regional","2 Trevally ST","Tomaree Community","Nelson Bay 2315",342,"NSW","Other small public acute","establishment",152.1589231,-32.7200047
"Inner Regional","78-92 Cherry ST","Ballina","Ballina 2478",343,"NSW","Small public acute with surgery/obstetrics","establishment",153.5648215,-28.8631338
"Inner Regional","10 Shirley ST","Byron Bay","Byron Bay 2481",344,"NSW","Other small public acute","establishment",153.608534,-28.641227
"Outer Regional","1 Hospital RD","Bonalbo","Bonalbo 2469",345,"NSW","Other small public acute","establishment",152.6225827,-28.733778
"Inner Regional","174 Arthur ST","Grafton","Grafton 2460",346,"NSW","Medium public acute","establishment",152.9406707,-29.6755127
"Inner Regional","199 Sumerland Way","Kyogle (MPS)","Kyogle 2474",347,"NSW","Other small public acute","establishment",153.0017286,-28.6270759
"Inner Regional","60 Uralba ST","Lismore","Lismore 2480",348,"NSW","Large public acute","establishment",153.2921469,-28.8088663
"Inner Regional","87 Cullen ST","Nimbin (MPS)","Nimbin 2480",349,"NSW","Very small public","establishment",153.223044,-28.597566
"Inner Regional","21 Union ST","Maclean","Maclean 2463",350,"NSW","Small public acute with surgery/obstetrics","establishment",153.2012818,-29.4543193
"Inner Regional","1-3 Azalea ST","Mullumbimby","Mullumbimby 2482",351,"NSW","Small public acute with surgery/obstetrics","street_address",149.0460177,-34.1520363
"Inner Regional","20 Dalley AV","St. Vincent's Lismore","Lismore 2480",352,"NSW","Unpeered","establishment",153.2874272,-28.8202943
"Outer Regional","45 Beaury ST","Urbenville (MPS)","Urbenville 2475",353,"NSW","Very small public","establishment",152.543087,-28.471523
"Outer Regional","43 Church ST","Bellinger River","Bellingen 2454",354,"NSW","Small public acute with surgery/obstetrics","establishment",151.046119,-33.863509
"Inner Regional","345 Pacific HWY","Coffs Harbour","Coffs Harbour 2450",355,"NSW","Large public acute","establishment",153.0936743,-30.317403
"Outer Regional","14 Beech ST","Dorrigo (MPS)","Dorrigo 2453",356,"NSW","Other small public acute","establishment",150.4799125,-34.397782
"Inner Regional","119 River ST","Macleay Valley - Kempsey","Kempsey 2440",357,"NSW","Medium public acute","establishment",152.8198321,-31.068374
"Outer Regional","14-22 Boundary ST","Macksville","Macksville 2447",358,"NSW","Small public acute with surgery/obstetrics","establishment",152.920203,-30.713838
"Inner Regional","69 High ST","Wauchope","Wauchope 2446",359,"NSW","Small public acute with surgery/obstetrics","establishment",152.7280796,-31.4574984
"Inner Regional","1-31 Wrights RD","Port Macquarie","Port Macquarie 2444",360,"NSW","Large public acute","street_address",152.8788326,-31.4520741
"Inner Regional","7 Pacific ST","Batemans Bay","Batemans Bay 2536",361,"NSW","Small public acute with surgery/obstetrics","establishment",150.1822526,-35.7137371
"Outer Regional","126 Wellington ST","Bombala","Bombala 2632",362,"NSW","Other small public acute","establishment",151.2117,-33.866745
"Inner Regional","77 Monkittee ST","Braidwood (MPS)","Braidwood 2622",363,"NSW","Other small public acute","establishment",149.8058611,-35.443796
"Inner Regional","17 Kialla RD","Crookwell","Crookwell 2583",364,"NSW","Other small public acute","doctor",149.467889,-34.464965
"Outer Regional","15 Craigie ST","Delegate (MPS)","Delegate 2633",365,"NSW","Very small public","establishment",148.945959,-37.044956
"Inner Regional","130 Goldsmith ST","Goulburn","Goulburn 2580",366,"NSW","Medium public acute","establishment",149.7132387,-34.7478383
"Inner Regional","2-10 River ST","Moruya","Moruya 2537",367,"NSW","Small public acute with surgery/obstetrics","establishment",150.0703106,-35.9045173
"Major Cities","16 Erin ST","Queanbeyan","Queanbeyan 2620",368,"NSW","Small public acute with surgery/obstetrics","premise",151.9635994,-32.4037208
"Inner Regional","234 Bourke ST","Bourke Street Health Service","Goulburn 2580",369,"NSW","Non-acute public-rehabilitation and GEM","establishment",149.719337,-34.748695
"Inner Regional","145 Meehan ST","Yass","Yass 2582",370,"NSW","Other small public acute","establishment",148.9070991,-34.8440562
"Outer Regional","137 Memorial Place","Berrigan (MPS)","Berrigan 2712",371,"NSW","Other small public acute","street_address",150.9116513,-33.9230401
"Inner Regional","51-55 Balfour ST","Culcairn (MPS)","Culcairn 2660",372,"NSW","Other small public acute","establishment",147.042162,-35.66738
"Inner Regional","411 Charlotte ST","Deniliquin","Deniliquin 2710",373,"NSW","Small public acute with surgery/obstetrics","establishment",144.9627241,-35.5243158
"Inner Regional","24 Dawe AV","Finley","Finley 2713",374,"NSW","Other small public acute","establishment",145.5681719,-35.6414321
"Inner Regional","7 Keighran ST","Henty (MPS)","Henty 2658",375,"NSW","Very small public","establishment",147.0317278,-35.5159862
"Inner Regional","1 Bowler ST","Holbrook","Holbrook 2644",376,"NSW","Other small public acute","establishment",147.3198168,-35.723765
"Outer Regional","33-39 Southey ST","Jerilderie (MPS)","Jerilderie 2716",377,"NSW","Other small public acute","establishment",145.720025,-35.356724
"Inner Regional","550 Poole ST","Mercy Care Centre Albury","Albury 2640",378,"NSW","Non-acute public-rehabilitation and GEM","establishment",146.915922,-36.069604
"Inner Regional","1 Adams ST","Tocumwal","Tocumwal 2714",379,"NSW","Other small public acute","premise",151.288483,-33.7689376
"Outer Regional","4 Mitchell ST","Tumbarumba (MPS)","Tumbarumba 2653",380,"NSW","Other small public acute","establishment",151.0994339,-33.89341
"Inner Regional","62-80 Dry ST","Boorowa","Boorowa 2586",381,"NSW","Other small public acute","street_address",148.7270754,-34.4431287
"Inner Regional","69 Demondrille ST","Mercy Care Centre Young","Young 2594",382,"NSW","Non-acute public-rehabilitation and GEM","establishment",148.2888091,-34.320776
"Inner Regional","68 Allanan ST","Young","Young 2594",383,"NSW","Small public acute with surgery/obstetrics","establishment",148.2886746,-34.3197243
"Outer Regional","61-81 Pioneer ST","Batlow/Adelong (MPS)","Batlow 2730",384,"NSW","Very small public","establishment",148.1480804,-35.5226421
"Outer Regional","1 Noorebar AV","Griffith","Griffith 2680",385,"NSW","Large public acute","establishment",146.0433745,-34.281952
"Outer Regional","351 Murray ST","Hay","Hay 2711",386,"NSW","Other small public acute","establishment",144.851622,-34.500358
"Remote","48C Burns ST","Hillston","Hillston 2675",387,"NSW","Other small public acute","establishment",145.5388518,-33.4789295
"Inner Regional","1 Buchanan DR","Coolamon (MPS)","Coolamon 2701",388,"NSW","Other small public acute","premise",151.1807423,-33.8629661
"Outer Regional","1 Wade AV","Leeton","Leeton 2705",389,"NSW","Small public acute with surgery/obstetrics","cafe",151.1056422,-29.7683432
"Outer Regional","53-55 Hebden ST","Lockhart","Lockhart 2656",390,"NSW","Other small public acute","establishment",146.719068,-35.222335
"Outer Regional","56-64 Adams ST","Narrandera","Narrandera 2700",391,"NSW","Small public acute with surgery/obstetrics","subpremise",141.9173275,-34.1066969
"Outer Regional","119 Gloucester ST","Temora","Temora 2666",392,"NSW","Small public acute with surgery/obstetrics","premise",147.5425565,-34.4431713
"Inner Regional","105 Simpson ST","Tumut","Tumut 2720",393,"NSW","Small public acute with surgery/obstetrics","establishment",148.2195498,-35.3072377
"Inner Regional","260 Edward ST","Wagga Wagga","Wagga Wagga 2650",394,"NSW","Large public acute","establishment",151.204085,-33.836824
"Inner Regional","120 MacKay ST","Cootamundra","Cootamundra 2590",395,"NSW","Small public acute with surgery/obstetrics","establishment",148.0129419,-34.6345275
"Very remote","26 Tarcoon ST","Bourke (MPS)","Bourke 2840",396,"NSW","Other small public acute","establishment",145.9476882,-30.092793
"Very remote","56 Doyle ST","Brewarrina (MPS)","Brewarrina 2839",397,"NSW","Other small public acute","establishment",146.863965,-29.9614381
"Outer Regional","111 Martin ST","Coolah (MPS)","Coolah 2843",398,"NSW","Other small public acute","establishment",149.709993,-31.821537
"Outer Regional","101 Edwards ST","Coonabarabran","Coonabarabran 2357",399,"NSW","Other small public acute","establishment",149.2842417,-31.2746602
"Remote","5-9 Darling ST","Baradine (MPS)","Baradine 2396",400,"NSW","Other small public acute","establishment",149.0662551,-30.9455375
"Remote","150 Castlereagh ST","Coonamble (MPS)","Coonamble 2829",401,"NSW","Other small public acute","establishment",148.3901793,-30.961229
"Outer Regional","47 Bourbah ST","Gulargambone (MPS)","Gulargambone 2828",402,"NSW","Very small public","establishment",148.469581,-31.32986
"Outer Regional","70 Digilah ST","Dunedoo (MPS)","Dunedoo 2844",403,"NSW","Very small public","establishment",149.3973487,-32.0171753
"Outer Regional","6 Chelmsford AV","Gilgandra (MPS)","Gilgandra 2827",404,"NSW","Other small public acute","premise",151.1410427,-33.8719252
